flight_id,flight_number,origin_airport_id,destination_airport_id,airline_id,plane_id
385df7ed,LH442,EDDF,KDTW,DLH,A346
385df7f7,FZ540,VNKT,OMDB,FDB,B738
385df804,G9720,OMSJ,HUEN,ABY,A320
385df807,B615,KJFK,KSFO,JBU,A321
385df825,UA121,LEBL,KEWR,UAL,B764
385df830,LH400,EDDF,KJFK,DLH,A346
385df833,F93137,KMIA,KDEN,FFT,A321
385df839,CZ6906,ZBAD,ZWWW,CSN,B38M
385df845,HO1948,ZYHB,ZGSZ,DKH,A320
385df864,AA3089,KLGA,KSRQ,AAL,A320
385df882,NZ90,RJAA,NZAA,ANZ,B77W
385df892,VR641,LFPG,GVSV,TCV,B737
385df8ad,AF68,LFPG,KPHX,AFR,B772
385df8b6,DL996,KATL,KLAX,DAL,A21N
385df8d2,UO647,RJAA,VHHH,HKE,A21N
385df8f1,LS1225,EGBB,LPMA,EXS,A21N
385df911,F93135,KORD,KIAH,FFT,A20N
385df923,FD231,RCTP,VTBD,AXM,A320
385df925,CZ6377,ZYCC,ZGGG,CSN,A20N
385df934,AK1623,WBKK,RKSI,AXM,A20N
385df95a,IX352,OMSJ,VOCL,AXB,A320
385df96a,F93571,KEWR,TJSJ,FFT,A21N
385df96e,KL787,EHAM,TNCM,KLM,A332
385df997,QF1,YSSY,WSSS,QFA,A388
385df999,EW9558,EDDL,GCTS,EWG,A21N
385df99b,3S629,OMDW,EDDF,BOX,B77L
385df9a7,EK146,EHAM,OMDB,UAE,B77W
385df9ab,6H662,OMDB,LLBG,ISR,A320
385df9ae,UA249,GCTS,KEWR,UAL,B752
385df9ba,SK903,ESSA,KEWR,SAS,A333
385df9bb,CA977,ZBAA,WIII,CCA,A333
385df9c3,HO1669,ZSPD,YSSY,DKH,B789
385df9c7,DL73,EHAM,KATL,DAL,A333
385df9c9,SQ305,EGLL,WSSS,SIA,B77W
385df9cc,B61519,KBOS,KMIA,JBU,A320
385df9d1,B6909,KBOS,MYNN,JBU,A321
385df9f0,AA71,EDDF,KDFW,AAL,B772
385df9f5,DL49,EHAM,KJFK,DAL,A339
385dfa1c,ZH652,RJAA,ZGSZ,CSZ,B738
385dfa3d,AY1731,EFHK,LPMA,FIN,A321
385dfa40,GF153,VTBS,OBBI,GFA,B789
385dfa70,VJ5141,ZBSJ,VVCR,VJC,A321
385dfa75,TP103,LPPT,SBCF,TAP,A339
385dfa7d,QR8962,OTHH,ZSPD,QTR,B77L
385dfa7f,HO1365,ZSPD,WMKP,DKH,A20N
385dfa8d,ET3685,VHHH,HAAB,ETH,B77L
385dfa8f,TN8,NTAA,KLAX,THT,B789
385dfa94,FZ651,OMDB,HUEN,FDB,B738
385dfabe,BA253,EGLL,MYNN,BAW,B772
385dfac7,AF484,LFPG,SBGL,AFR,B77W
385dfac8,SQ335,LFPG,WSSS,SIA,B77W
385dfacc,DJ230,EKBI,ZHEC,SRR,B77L
385dfacf,BR171,RKSI,RCKH,EVA,A321
385dfada,5W7007,OMAA,LGAV,WZZ,A21N
385dfadb,2C630,LFPG,ZHCC,CMA,A332
385dfae5,3U3887,ZUTF,UUEE,CSC,A359
385dfaf1,AA2971,KALB,KDFW,AAL,A320
385dfafa,B61323,KJFK,KLAX,JBU,A321
385dfafc,Y7402,UUDD,URSS,TYA,B738
385dfaff,C67675,UTTT,LKMT,MFX,B763
385dfb0f,NH833,RJAA,VVTS,ANA,B788
385dfb42,AM35,LEMD,MMMY,AMX,B789
385dfb55,AA319,KORD,KPHX,AAL,B738
385dfb61,9C6458,ZUTF,ZSSS,CQH,A320
385dfb66,UT716,OMDW,UUWW,UTA,B762
385dfb87,FJ880,NFFN,CYVR,FJI,A359
385dfb8a,LX238,LSZH,HECA,SWR,BCS3
385dfb96,DL2,EGLL,KJFK,DAL,A332
385dfb99,LH758,EDDF,VOMM,DLH,A343
385dfb9d,F91334,KDFW,KTPA,FFT,A21N
385dfba6,UA50,LEMD,KEWR,UAL,B764
385dfbb1,MS784,EGLL,HECA,MSR,A21N
385dfbc7,ET3728,EBLG,VHHH,ETH,B77L
385dfbd2,U61801,UUDD,HEGN,SVR,A21N
385dfbe5,B6869,KJFK,MDPC,JBU,A320
385dfbe9,EY9711,OMAA,LEMD,ETD,B77L
385dfc05,CI64,LOWW,RCTP,CAL,A359
385dfc08,AF476,LFPG,SBSV,AFR,A359
385dfc1f,BA65,EGLL,HKJK,BAW,A35K
385dfc25,HO1662,EGCC,ZSPD,DKH,B789
385dfc3b,BY2112,EGCC,GCLP,TUI,B789
385dfc4c,AF842,LFPO,TFFF,AFR,B77W
385dfc4f,NK2058,KFLL,SKCL,NKS,A20N
385dfc53,MF855,ZSFZ,WIII,CXA,B738
385dfc56,TK571,GQNO,LTFM,THY,A333
385dfc6b,FJ810,NFFN,KLAX,FJI,A359
385dfc6e,TW191,RKSI,VVDN,TWB,B738
