airport_id,airport_name,city,country,latitude,longitude
SBFI,Cataratas International Airport,Foz Do Iguacu,Brazil,-25.60027885,-54.48500061
SBFL,Hercílio Luz International Airport,Florianopolis,Brazil,-27.67027855,-48.55250168
SBFN,Fernando de Noronha Airport,Fernando Do Noronha,Brazil,-3.85493,-32.423302
SBFU,Furnas Airport,Alpinopolis,Brazil,-20.70280075,-46.33530045
SBFZ,Pinto Martins International Airport,Fortaleza,Brazil,-3.776279926,-38.5326004
SBGL,Rio Galeão – Tom Jobim International Airport,Rio De Janeiro,Brazil,-22.80999947,-43.25055695
SBGM,Guajará-Mirim Airport,Guajara-mirim,Brazil,-10.78639984,-65.28479767
SBGO,Santa Genoveva Airport,Goiania,Brazil,-16.63199997,-49.22069931
SBGP,EMBRAER - Unidade Gavião Peixoto Airport,Macae,Brazil,-21.77370071,-48.40510178
SBGR,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.43555641,-46.47305679
SBGW,Guaratinguetá Airport,Guaratingueta,Brazil,-22.79159927,-45.20479965
SBHT,Altamira Airport,Altamira,Brazil,-3.253910065,-52.25400162
SBIC,Itacoatiara Airport,Itaituba,Brazil,-3.12725997,-58.48120117
SBIH,Itaituba Airport,Itaituba,Brazil,-4.242340088,-56.0007019
SBIL,Bahia - Jorge Amado Airport,Ilheus,Brazil,-14.81599998,-39.03319931
SBIP,Usiminas Airport,Ipatinga,Brazil,-19.47069931,-42.48759842
SBIT,Francisco Vilela do Amaral Airport,Itumbiara,Brazil,-18.44470024,-49.21340179
SBIZ,Prefeito Renato Moreira Airport,Imperatriz,Brazil,-5.53129,-47.459999
SBJC,Belém/Brigadeiro Protásio de Oliveira Airport,Belem,Brazil,-1.414160013,-48.46070099
SBJF,Francisco de Assis Airport,Juiz De Fora,Brazil,-21.79150009,-43.38679886
SBJP,Presidente Castro Pinto International Airport,Joao Pessoa,Brazil,-7.145833015,-34.94861221
SBJV,Lauro Carneiro de Loyola Airport,Joinville,Brazil,-26.22450066,-48.79740143
SBKG,Presidente João Suassuna Airport,Campina Grande,Brazil,-7.26992,-35.8964
SBKP,Viracopos International Airport,Campinas,Brazil,-23.00740051,-47.1344986
SBLJ,Lages Airport,Lajes,Brazil,-27.78210068,-50.28150177
SBLN,Lins Airport,Lins,Brazil,-21.66399956,-49.73049927
SBLO,Governador José Richa Airport,Londrina,Brazil,-23.33359909,-51.13010025
SBLP,Bom Jesus da Lapa Airport,Bom Jesus Da Lapa,Brazil,-13.26210022,-43.40810013
SBLS,Lagoa Santa Airport,Lagoa Santa,Brazil,-19.66160011,-43.89640045
SBMA,João Correa da Rocha Airport,Maraba,Brazil,-5.368589878,-49.13800049
SBMD,Monte Dourado Airport,Almeirim,Brazil,-0.889839,-52.6022
SBMG,Regional de Maringá - Sílvio Nane Junior Airport,Maringa,Brazil,-23.4794445,-52.01222229
SBMK,Mário Ribeiro Airport,Montes Claros,Brazil,-16.70689964,-43.81890106
SBMN,Ponta Pelada Airport,Manaus,Brazil,-3.146039963,-59.98630142
SBMO,Zumbi dos Palmares Airport,Maceio,Brazil,-9.510809898,-35.79169846
SBMQ,Alberto Alcolumbre Airport,Macapa,Brazil,0.050664,-51.07220078
SBMS,Dix-Sept Rosado Airport,Mocord,Brazil,-5.201920032,-37.36429977
SBMT,Campo de Marte Airport,Sao Paulo,Brazil,-23.50909996,-46.63779831
SBMY,Manicoré Airport,Manicore,Brazil,-5.81137991,-61.27830124
SBNF,Ministro Victor Konder International Airport,Navegantes,Brazil,-26.879999,-48.651402
SBNM,Santo Ângelo Airport,Santo Angelo,Brazil,-28.2817,-54.169102
SBSG,Governador Aluízio Alves International Airport,Natal,Brazil,-5.768056,-35.376111
SBOI,Oiapoque Airport,Oioiapoque,Brazil,3.855489969,-51.7969017
SBPA,Salgado Filho Airport,Porto Alegre,Brazil,-29.99440002,-51.17139816
SBPB,Prefeito Doutor João Silva Filho Airport,Parnaiba,Brazil,-2.893749952,-41.73199844
SBPC,Poços de Caldas - Embaixador Walther Moreira Salles Airport,Pocos De Caldas,Brazil,-21.84300041,-46.56790161
SBPF,Lauro Kurtz Airport,Passo Fundo,Brazil,-28.243999,-52.326599
SBPK,João Simões Lopes Neto International Airport,Pelotas,Brazil,-31.718399,-52.327702
SBPL,Senador Nilo Coelho Airport,Petrolina,Brazil,-9.362409592,-40.56909943
SBPN,Porto Nacional Airport,Porto Nacional,Brazil,-10.71940041,-48.39970016
SBPP,Ponta Porã Airport,Ponta Pora,Brazil,-22.5496006,-55.70259857
SBPV,Governador Jorge Teixeira de Oliveira Airport,Porto Velho,Brazil,-8.709289551,-63.90230179
SBRB,Plácido de Castro Airport,Rio Branco,Brazil,-9.868888855,-67.89805603
SBRF,Guararapes - Gilberto Freyre International Airport,Recife,Brazil,-8.126489639,-34.92359924
SBRJ,Santos Dumont Airport,Rio De Janeiro,Brazil,-22.91049957,-43.1631012
SBRP,Leite Lopes Airport,Ribeirao Preto,Brazil,-21.13638878,-47.77666855
SBSC,Santa Cruz Air Force Base,Rio De Janeiro,Brazil,-22.9324,-43.719101
SBSJ,Professor Urbano Ernesto Stumpf Airport,Sao Jose Dos Campos,Brazil,-23.22920036,-45.86149979
SBSL,Marechal Cunha Machado International Airport,Sao Luis,Brazil,-2.58536005,-44.23410034
SBSP,Congonhas Airport,Sao Paulo,Brazil,-23.62611008,-46.65638733
SBSR,Prof. Eribelto Manoel Reino State Airport,Sao Jose Do Rio Preto,Brazil,-20.8166008,-49.40650177
SBST,Base Aérea de Santos Airport,Santos,Brazil,-23.92805672,-46.29972076
SBSV,Deputado Luiz Eduardo Magalhães International Airport,Salvador,Brazil,-12.9086113,-38.32249832
SBTB,Trombetas Airport,Oriximina,Brazil,-1.489599943,-56.39680099
SBTE,Senador Petrônio Portela Airport,Teresina,Brazil,-5.059939861,-42.82350159
SBTF,Tefé Airport,Tefe,Brazil,-3.382940054,-64.72409821
SBTK,Tarauacá Airport,Tarauaca,Brazil,-8.155260086,-70.78330231
SBTL,Telêmaco Borba Airport,Telemaco Borba,Brazil,-24.31780052,-50.65159988
SBTS,Tiriós Airport,Obidos Tirios,Brazil,2.22347,-55.946098
SBTT,Tabatinga Airport,Tabatinga,Brazil,-4.255670071,-69.93579865
SBTU,Tucuruí Airport,Tucurui,Brazil,-3.786010027,-49.72029877
SBUA,São Gabriel da Cachoeira Airport,Sao Gabriel,Brazil,-0.14835,-66.9855
SBUF,Paulo Afonso Airport,Paulo Alfonso,Brazil,-9.40087986,-38.25059891
SBUG,Rubem Berta Airport,Uruguaiana,Brazil,-29.78219986,-57.03820038
SBUL,Ten. Cel. Aviador César Bombonato Airport,Uberlandia,Brazil,-18.883612,-48.225277
SBUR,Mário de Almeida Franco Airport,Uberaba,Brazil,-19.76472282,-47.96611023
SBVG,Major Brigadeiro Trompowsky Airport,Varginha,Brazil,-21.59009933,-45.47330093
SBVH,Brigadeiro Camarão Airport,Vilhena,Brazil,-12.69439983,-60.09830093
SBVT,Eurico de Aguiar Salles Airport,Vitoria,Brazil,-20.258057,-40.286388
SBYA,Iauaretê Airport,Iauarete,Brazil,0.607500017,-69.18579865
SBYS,Campo Fontenelle Airport,Piracununga,Brazil,-21.98460007,-47.33480072
SCAR,Chacalluta Airport,Arica,Chile,-18.348499,-70.338699
SCBA,Balmaceda Airport,Balmaceda,Chile,-45.91609955,-71.6894989
SCBQ,El Bosque Airport,Santiago,Chile,-33.5617981,-70.68840027
SCCC,Chile Chico Airport,Chile Chico,Chile,-46.58330154,-71.68740082
SCCF,El Loa Airport,Calama,Chile,-22.49819946,-68.9036026
SCCH,Gral. Bernardo O´Higgins Airport,Chillan,Chile,-36.58250046,-72.03140259
SCCI,Pdte. Carlos Ibañez del Campo Airport,Punta Arenas,Chile,-53.002602,-70.854599
SCCY,Teniente Vidal Airport,Coyhaique,Chile,-45.59420013,-72.10610199
SCDA,Diego Aracena Airport,Iquique,Chile,-20.53520012,-70.1812973
